Index,CODA,Werklijst,Ugentnummer,Staalnummer,FAVV,Sample,Colony Nr.,Province,Status,Race,Postcode,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
62,2674,6,17,2012/21610,2550120103,12_62,5,Limburg,WL,Carnica,3665,5.572202585,51.0005396,As,1.287553648,Thymol,Thymol,None,12
63,1963,12,13,2012/22102,2196120049,12_63,1,Antwerpen,Healthy,Carnica,2242,4.70338521,51.2257319,Pulderbos,6.261343013,Thymol,OA,OA+Thymol,12
64,1963,12,12,2012/22101,2196120053,12_64,5,Antwerpen,WL,Carnica,2242,4.70338521,51.2257319,Pulderbos,1.991193738,Thymol,OA,OA+Thymol,12
65,2118,11,22,2012/22015,2550120108,12_65,1,Limburg,WL,Carnica,3665,5.572202585,51.0005396,As,4.188018433,OA,None,None,12
66,2118,11,29,2012/22022,2550120110,12_66,3,Limburg,Healthy,Carnica,3665,5.572202585,51.0005396,As,4.27019367,OA,None,None,12
67,2778,13,19,2012/22350,2460120054,12_67,1,West-Vl,Healthy,Hybrid,8560,3.186445006,50.8121065,Wevelgem,0,Thymol,None,Thymol,12
68,2778,13,22,2012/22353,2460120055,12_68,2,West-Vl,WL,Hybrid,8560,3.186445006,50.8121065,Wevelgem,1.210434783,Thymol,None,Thymol,12
69,472,6,1,2012/21581,2160120018,12_69,1,Vl-Br.,Healthy,Carnica,3010,4.730761495,50.88991545,Kessel-lo,1.305743846,OA,OA,OA,12
7,2258,12,1,2012/22086,2550120114,12_7,1,Limburg,Healthy,Buckfast,3630,5.696445,50.9635024,Maasmechelen,2.846685645,None,None,None,12
70,472,6,7,2012/21590,2160120021,12_70,4,Vl-Br.,Healthy,Carnica,3010,4.730761495,50.88991545,Kessel-lo,6.261343013,OA,OA,OA,12
71,472,6,2,2012/21583,2160120019,12_71,2,Vl-Br.,WL,Carnica,3010,4.730761495,50.88991545,Kessel-lo,4.27019367,OA,OA,OA,12
72,472,6,5,2012/21586,2160120020,12_72,3,Vl-Br.,WL,Carnica,3010,4.730761495,50.88991545,Kessel-lo,11.66243194,OA,OA,OA,12
73,615,12,30,2012/22121,2196120082,12_73,1,Antwerpen,WL,Carnica,2980,4.7132557,51.2716725,Zoersel,4.291187739,OA+Coumaphos,Coumaphos,None,12
74,615,12,31,2012/22123,2196120083,12_74,2,Antwerpen,Healthy,Carnica,2980,4.7132557,51.2716725,Zoersel,0.603661554,OA+Coumaphos,Coumaphos,None,12
75,615,12,32,2012/22124,2196120084,12_75,3,Antwerpen,WL,Carnica,2980,4.7132557,51.2716725,Zoersel,9.416342412,OA+Coumaphos,Coumaphos,None,12
76,615,12,29,2012/22119,2196120085,12_76,4,Antwerpen,Healthy,Carnica,2980,4.7132557,51.2716725,Zoersel,0.722499458,OA+Coumaphos,Coumaphos,None,12
77,2453,19,5,2012/22928,2460120079,12_77,1,West-Vl,WL,Buckfast + Carnica,8630,2.654885824,51.071043,Veurne,9.747003995,OA,OA,OA,12
78,2453,19,6,2012/22931,2460120080,12_78,2,West-Vl,Healthy,Buckfast + Carnica,8630,2.654885824,51.071043,Veurne,0.486555698,OA,OA,OA,12
79,2453,19,7,2012/22933,2460120081,12_79,3,West-Vl,Healthy,Buckfast + Carnica,8630,2.654885824,51.071043,Veurne,2.874951305,OA,OA,OA,12
8,2258,12,3,2012/22090,2550120115,12_8,2,Limburg,WL,Buckfast,3630,5.696445,50.9635024,Maasmechelen,9.631715771,None,None,None,12
80,2453,19,8,2012/22935,2460120082,12_80,4,West-Vl,WL,Buckfast + Carnica,8630,2.654885824,51.071043,Veurne,22.16350124,OA,OA,OA,12
81,2649,3,1,2012/21308,2102120105,12_81,1,Oost-Vl,WL,Carnica,9910,3.412339,51.1392692,Knesselare,8.968944099,OA,OA,OA,12
82,2649,3,5,2012/21312,2102120110,12_82,6,Oost-Vl,WL,Carnica,9910,3.412339,51.1392692,Knesselare,4.087591241,OA,OA,OA,12
83,2649,3,2,2012/21309,2102120106,12_83,2,Oost-Vl,Healthy,Carnica,9910,3.412339,51.1392692,Knesselare,0.905172414,OA,OA,OA,12
84,2649,3,3,2012/21310,2102120107,12_84,3,Oost-Vl,Healthy,Carnica,9910,3.412339,51.1392692,Knesselare,2.635938063,OA,OA,OA,12
85,1259,9,16,2012/21862,2160120028,12_85,1,Vl-Br.,Healthy,Carnica,1560,4.474407,50.7674846,Hoeilaart,2.750554547,Thymol,OA,Thymol,12
86,1259,9,20,2012/21868,2160120032,12_86,5,Vl-Br.,WL,Carnica,1560,4.474407,50.7674846,Hoeilaart,7.911239749,Thymol,OA,Thymol,12
87,2010,10,2,2012/21871,2460120048,12_87,1,West-Vl,Healthy,Carnica,8340,3.292091113,51.2553021,Damme,7.420612813,Thymol+Coumaphos,None,Thymol,12
88,2010,10,4,2012/21874,2460120050,12_88,3,West-Vl,WL,Carnica,8340,3.292091113,51.2553021,Damme,1.492178099,Thymol+Coumaphos,None,Thymol,12
89,2896,18,7,2012/22847,2196120101,12_89,1,Antwerpen,WL,Carnica,2275,4.8242404,51.238218,Lille,0.293676313,OA+Thymol,OA,OA,12
9,2498,15,2,2012/22503,2102120131,12_9,2,Oost-Vl,WL,Unknown,9150,4.3091107,51.1712275,Kruibeke,0,Thymol,None,Thymol,12
90,2896,18,11,2012/22851,2196120102,12_90,2,Antwerpen,Healthy,Carnica,2275,4.8242404,51.238218,Lille,1.089808274,OA+Thymol,OA,OA,12
91,376,16,18,2012/22609,2550120155,12_91,3,Limburg,WL,Carnica,3550,5.2750485,51.0233485,Heusden-Zolder,7.420612813,OA+Thymol,None,None,12
92,376,16,19,2012/22610,2550120156,12_92,4,Limburg,WL,Carnica,3550,5.2750485,51.0233485,Heusden-Zolder,0,OA+Thymol,None,None,12
93,376,16,20,2012/22611,2550120157,12_93,5,Limburg,WL,Carnica,3550,5.2750485,51.0233485,Heusden-Zolder,1.492178099,OA+Thymol,None,None,12
94,183,11,21,2012/22014,1081120112,12_94,1,Vl.Br.,Healthy,Carnica,1755,4.0614624,50.7720719,Oetlingen,0.350346021,Thymol,OA,Thymol,12
95,183,11,18,2012/22011,1081120113,12_95,2,Vl.Br.,Healthy,Carnica,1755,4.0614624,50.7720719,Oetlingen,9.585348998,Thymol,OA,Thymol,12
96,183,11,14,2012/22007,1081120114,12_96,3,Vl.Br.,Healthy,Carnica,1755,4.0614624,50.7720719,Oetlingen,10.86790045,Thymol,OA,Thymol,12
97,526,9,13,2012/21858,2014120069,12_97,1,Oost. Vl.,WL,Buckfast + Carnica,9630,3.719334,50.8793307,Zwalm,0.983949756,None,None,None,12
98,526,9,14,2012/21860,2014120070,12_98,2,Oost. Vl.,WL,Buckfast + Carnica,9630,3.719334,50.8793307,Zwalm,7.090475157,None,None,None,12
99,526,9,15,2012/21861,2014120071,12_99,3,Oost. Vl.,WL,Buckfast + Carnica,9630,3.719334,50.8793307,Zwalm,2.476340694,None,None,None,12
151,1063,6,13,,4231130036,13_1,1,Limburg,Healthy,Carnica,3990,5.449157219,51.10874,Peer,0.284697509,OA+Thymol,OA,OA,13
160,237,4,22,,2460130119,13_10,2,West.Vl.,Healthy,Unknown,8570,3.463734552,50.844003,Anzegem,0,Thymol,OA,None,13
250,2307,1,7,,2102130113,13_100,2,Oost. Vl.,Healthy,Carnica,9270,3.8504738,51.029657,Laarne,0,OA+Thymol,Coumaphos,OA,13
251,2307,1,6,,2102130114,13_101,3,Oost. Vl.,Healthy,Carnica,9270,3.8504738,51.029657,Laarne,0,OA+Thymol,Coumaphos,OA,13
252,2307,1,5,,2102130115,13_102,4,Oost. Vl.,WL,Carnica,9270,3.8504738,51.029657,Laarne,0,OA+Thymol,Coumaphos,OA,13
253,2307,1,4,,2102130116,13_103,5,Oost. Vl.,WL,Carnica,9270,3.8504738,51.029657,Laarne,6.110260337,OA+Thymol,Coumaphos,OA,13
254,2307,1,1,,2102130117,13_104,6,Oost. Vl.,Healthy,Carnica,9270,3.8504738,51.029657,Laarne,0.490162237,OA+Thymol,Coumaphos,OA,13
255,806,2,48,,1081130090,13_105,1,Vl.Br.,WL,Carnica,3270,4.975432566,50.9689147,Scherpenheuvel-Zichem,2.219863533,OA,Thymol,None,13
256,806,2,49,,1081130093,13_106,4,Vl.Br.,Healthy,Carnica,3270,4.975432566,50.9689147,Scherpenheuvel-Zichem,0.318532819,OA,Thymol,None,13
257,806,2,46,,1081130094,13_107,5,Vl.Br.,WL,Carnica,3270,4.975432566,50.9689147,Scherpenheuvel-Zichem,2.151793161,OA,Thymol,None,13
258,806,2,51,,1081130095,13_108,6,Vl.Br.,Healthy,Carnica,3270,4.975432566,50.9689147,Scherpenheuvel-Zichem,1.900326036,OA,Thymol,None,13
259,2551,2,59,,2014130080,13_109,1,Oost. Vl.,Healthy,Carnica,9402,4.0242373,50.8353611,Ninove,0,Thymol,OA,Thymol,13
161,1270,4,42,,2460130127,13_11,1,West.Vl.,Healthy,Carnica,8755,3.37894958,51.062755,Ruiselede,4.805393809,None,None,None,13
260,2551,2,57,,2014130082,13_110,3,Oost. Vl.,WL,Carnica,9402,4.0242373,50.8353611,Ninove,0.3,Thymol,OA,Thymol,13
261,480,5,41,,2196130123,13_111,1,Antwerpen,Healthy,Carnica,2490,5.193773076,51.171804,Balen,0.549189189,OA+Thymol,None,OA,13
262,480,5,45,,2196130127,13_112,5,Antwerpen,WL,Carnica,2490,5.193773076,51.171804,Balen,2.261355356,OA+Thymol,None,OA,13
