,Sample,Virus,ViralLoad,Province,Status,Race,LAT,LON,Commune,Mitesper100,TXPRE,TXWIN,TXPOST,Year
156,12_119,dwv,9642.87,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
157,12_119,AMFV,157999.62,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
158,12_119,thog,0,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
159,12_119,thika,3279.66,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
160,12_119,bmlv,8302.13,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
161,12_119,vdv,8621.75,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
162,12_12,thika,0,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
163,12_12,bmlv,0,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
164,12_12,Unc,0,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
165,12_12,dwv,3878.34,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
166,12_12,AMFV,0,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
167,12_12,vdv,5643.91,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
168,12_12,thog,0,West-Vl,Healthy,Carnica,2.808607209,50.88120105,Elverdinge,0,Thymol+Fluvalinate,OA,None,12
169,12_120,dwv,2533.2,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
170,12_120,thika,3917.37,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
171,12_120,bmlv,0,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
172,12_120,AMFV,34151.3,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
173,12_120,vdv,98922.55,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
174,12_120,thog,0,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
175,12_120,Unc,0,Vl.Br.,Healthy,Carnica,5.101581003,50.89519195,Geetbets,0,OA,OA,None,12
176,12_121,thog,0,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
177,12_121,bmlv,5067.18,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
178,12_121,Unc,230356.48,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
179,12_121,dwv,1280000,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
180,12_121,AMFV,17388.57,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
181,12_121,vdv,1100000,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
182,12_121,thika,0,West. Vl.,WL,Carnica,3.341426328,50.99996475,Tielt,5.389982111,None,None,None,12
183,12_122,thog,79109.02,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
184,12_122,Unc,0,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
185,12_122,vdv,3.62e+08,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
186,12_122,dwv,19800000,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
187,12_122,AMFV,20827.82,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
188,12_122,bmlv,17450.78,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
189,12_122,thika,0,West. Vl.,Healthy,Carnica,2.8647185,51.0333408,Diksmuide,4.267515924,OA,OA,OA,12
190,12_123,bmlv,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
191,12_123,thog,6077.56,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
192,12_123,AMFV,53285.62,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
193,12_123,dwv,47500000,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
194,12_123,Unc,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
195,12_123,thika,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
196,12_123,vdv,30600000,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,1.305743846,OA,None,None,12
197,12_124,thog,0,Oost. Vl.,WL,Carnica,3.8855494,51.0068804,Wetteren,0.218880286,OA,None,None,12
