sample	colony_id	lat	lon	commune	status_year
13_44	163	4.3997081	51.2211097	antwerpen	healthy_13
13_45	163	4.3997081	51.2211097	antwerpen	healthy_13
13_46	163	4.3997081	51.2211097	antwerpen	wl_13
13_47	349	3.762778	50.7979739	brakel	healthy_13
13_48	349	3.762778	50.7979739	brakel	healthy_13
13_49	349	3.762778	50.7979739	brakel	wl_13
13_5	1541	4.2437819	51.0198436	malderen	wl_13
13_50	349	3.762778	50.7979739	brakel	wl_13
13_51	900	5.5001456	50.9654864	genk	healthy_13
13_52	900	5.5001456	50.9654864	genk	wl_13
13_53	900	5.5001456	50.9654864	genk	wl_13
13_54	900	5.5001456	50.9654864	genk	healthy_13
13_55	1841	4.6386824	50.9769286	haacht	healthy_13
13_56	1841	4.6386824	50.9769286	haacht	wl_13
13_57	1841	4.6386824	50.9769286	haacht	healthy_13
13_58	1841	4.6386824	50.9769286	haacht	wl_13
13_59	2005	3.090295389	51.1846386	jabbeke	wl_13
13_6	1541	4.2437819	51.0198436	malderen	healthy_13
13_60	2005	3.090295389	51.1846386	jabbeke	healthy_13
13_61	2005	3.090295389	51.1846386	jabbeke	healthy_13
13_62	2005	3.090295389	51.1846386	jabbeke	wl_13
13_63	80	5.449157219	51.10874	peer	healthy_13
13_64	80	5.449157219	51.10874	peer	wl_13
13_65	80	5.449157219	51.10874	peer	healthy_13
13_66	80	5.449157219	51.10874	peer	wl_13
13_67	179	4.886378182	50.9242724	tielt-winge	healthy_13
13_68	179	4.886378182	50.9242724	tielt-winge	wl_13
13_69	179	4.886378182	50.9242724	tielt-winge	wl_13
13_7	2628	4.967812	51.2407915	kasterlee	wl_13
13_70	179	4.886378182	50.9242724	tielt-winge	healthy_13
13_71	1010	3.9911114	51.1042159	lokeren	wl_13
13_72	1010	3.9911114	51.1042159	lokeren	healthy_13
13_73	1010	3.9911114	51.1042159	lokeren	wl_13
13_74	1010	3.9911114	51.1042159	lokeren	healthy_13
13_75	1384	4.431231831	51.332759	kapellen	wl_13
13_76	1384	4.431231831	51.332759	kapellen	healthy_13
13_77	1384	4.431231831	51.332759	kapellen	healthy_13
13_78	1384	4.431231831	51.332759	kapellen	wl_13
13_79	2069	4.6595103	51.2147918	zandhoven	healthy_13
13_8	2628	4.967812	51.2407915	kasterlee	healthy_13
13_80	2069	4.6595103	51.2147918	zandhoven	wl_13
13_81	2069	4.6595103	51.2147918	zandhoven	healthy_13
13_82	2069	4.6595103	51.2147918	zandhoven	wl_13
13_83	1520	4.901808003	51.0554081	herselt	wl_13
13_84	1520	4.901808003	51.0554081	herselt	healthy_13
13_85	1520	4.901808003	51.0554081	herselt	healthy_13
13_86	1520	4.901808003	51.0554081	herselt	wl_13
13_87	1148	4.670951732	51.1611887	nijlen	wl_13
13_88	1148	4.670951732	51.1611887	nijlen	healthy_13
13_89	1148	4.670951732	51.1611887	nijlen	wl_13
13_9	237	3.463734552	50.844003	anzegem	wl_13
13_90	1148	4.670951732	51.1611887	nijlen	wl_13
13_91	1148	4.670951732	51.1611887	nijlen	healthy_13
13_92	1148	4.670951732	51.1611887	nijlen	healthy_13
13_93	2137	4.242326005	51.0924649	bornem	healthy_13
13_94	2137	4.242326005	51.0924649	bornem	wl_13
13_95	2137	4.242326005	51.0924649	bornem	healthy_13
13_96	2137	4.242326005	51.0924649	bornem	healthy_13
13_97	2137	4.242326005	51.0924649	bornem	wl_13
13_98	2137	4.242326005	51.0924649	bornem	wl_13
13_99	2307	3.8504738	51.029657	laarne	wl_13
